(165	97	0.008264)
(167	78	0.008264)
(167	88	-0.016529)
(167	98	0.008264)
(169	79	0.008264)
(169	89	-0.016529)
(169	99	0.008264)
(170	80	0.008264)
(170	90	-0.016529)
(171	81	0.008264)
(171	91	-0.016529)
(172	82	0.008264)
(172	92	-0.016529)
(173	83	0.008264)
(173	93	-0.016529)
(174	84	0.008264)
(174	94	-0.016529)
(175	85	0.008264)
(175	95	-0.016529)
(176	86	0.008264)
(176	96	-0.016529)
(177	87	0.008264)
(177	97	-0.016529)
(178	88	0.008264)
(178	98	-0.016529)
(179	89	0.008264)
(179	99	-0.016529)
Row:	Col:	Val:
