84,3527999,0.151868, 8.378e-06,9.826e-06,0.00568789,0.0107243,0.0200085,221.4350.842823
85,3655821,0.157711, 8.614e-06,9.722e-06,0.00565964,0.0106047,0.0198653,221.4150.883787
86,3786751,0.164633, 8.721e-06,9.956e-06,0.00559107,0.0106855,0.0199961,221.8260.924439
87,3920741,0.169854, 8.808e-06,9.913e-06,0.00569438,0.0108317,0.0204242,221.8260.968224
88,4057855,0.175128, 9.004e-06,9.715e-06,0.00588803,0.0114226,0.0204095,222.631.00989
89,4198117,0.182217, 9.148e-06,9.673e-06,0.00594505,0.0112254,0.0205635,223.1731.05404
90,4341599,0.189456, 8.866e-06,9.998e-06,0.00598894,0.0110928,0.0215896,223.731.09951
91,4488301,0.195038, 8.743e-06,9.847e-06,0.00619108,0.0115303,0.0215396,224.1761.14695
92,4638271,0.201164, 9.164e-06,9.726e-06,0.00616738,0.0115757,0.0210187,224.3281.19743
93,4791545,0.208665, 8.919e-06,9.842e-06,0.00621706,0.0117278,0.0218765,224.6661.2485
94,4948159,0.21689, 8.851e-06,9.991e-06,0.00629399,0.011845,0.022056,225.9391.29577
95,5108141,0.224509, 8.543e-06,9.994e-06,0.00639036,0.0121269,0.0226989,226.0151.35138
96,5271551,0.231051, 8.72e-06,9.768e-06,0.0062829,0.0119347,0.0225866,226.7321.40477
97,5438401,0.23964, 8.881e-06,9.862e-06,0.00637782,0.012202,0.0231609,226.2921.4671
98,5608735,0.248431, 8.726e-06,9.82e-06,0.00643114,0.011984,0.0230415,227.1441.52285
99,5782589,0.255753, 8.622e-06,9.785e-06,0.00662077,0.0124453,0.0236098,226.8611.58799
100,5960011,0.262744, 8.689e-06,1.0288e-05,0.00667523,0.0124435,0.0231813,227.4761.6487
101,6141001,0.272225, 8.937e-06,9.978e-06,0.00678943,0.0128163,0.0241949,226.5141.72298
102,6325631,0.282337, 8.494e-06,1.0043e-05,0.00677643,0.012619,0.0240104,227.5911.7838
103,6513925,0.290233, 8.668e-06,1.0085e-05,0.00702816,0.013307,0.0249803,227.8661.85259
104,6705919,0.297638, 8.977e-06,9.896e-06,0.0068337,0.0127592,0.0244594,227.9011.92534
105,6901649,0.307555, 8.968e-06,1.0026e-05,0.00712268,0.0133581,0.0250418,227.9052.00047
106,7101151,0.318091, 8.464e-06,1.0093e-05,0.00725217,0.0134579,0.0258958,227.9382.07753
107,7304461,0.32655, 9.122e-06,9.995e-06,0.00729134,0.0138644,0.0270207,227.7492.15888
108,7511615,0.335129, 8.72e-06,1.0244e-05,0.00708871,0.0133005,0.0255026,228.2682.23568
109,7722649,0.343303, 9.011e-06,1.0096e-05,0.00734192,0.0136968,0.0265887,228.1592.3208
110,7937599,0.354814, 8.703e-06,1.0113e-05,0.00757332,0.0141233,0.0265655,228.2872.40585
111,8156501,0.363455, 8.876e-06,1.0187e-05,0.00767103,0.0144066,0.0273578,228.5042.49222
112,8379391,0.372748, 8.915e-06,9.801e-06,0.00764226,0.0145618,0.0279312,228.4672.58372
113,8606305,0.384297, 8.784e-06,9.909e-06,0.00763707,0.0142857,0.0271493,228.8762.67251
114,8837279,0.396779, 8.763e-06,9.978e-06,0.00757092,0.0141974,0.0274819,229.0762.76601
115,9072349,0.406855, 8.695e-06,9.873e-06,0.00777193,0.0145008,0.0283223,229.2762.86191
116,9311632,0.41631, 9.222e-06,9.945e-06,0.00849471,0.0162921,0.0306409,228.7072.97019
117,9554921,0.428635, 8.852e-06,9.884e-06,0.00778199,0.0144118,0.0286477,229.0413.06951
118,9802495,0.441973, 8.798e-06,9.977e-06,0.00795655,0.0149284,0.028436,229.0743.17541
119,10054309,0.452438, 8.831e-06,9.913e-06,0.00819279,0.01523,0.0296446,228.953.28627
120,10310399,0.463137, 9.039e-06,1.0067e-05,0.00837732,0.0154349,0.0371206,228.9053.39885
121,10570785,0.476337, 9.035e-06,9.92e-06,0.00821847,0.0152638,0.0298677,228.9443.51303
122,10835551,0.494028, 8.875e-06,1.0092e-05,0.00843278,0.0156857,0.0305172,228.8593.63202
123,11104685,0.505677, 9.298e-06,9.946e-06,0.00836015,0.0156555,0.030229,229.1163.74844
124,11378239,0.517885, 9.04e-06,9.991e-06,0.00850093,0.0159272,0.0312667,229.053.87302
