Hello world
Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
Element calculation test with N = 0 Time: 1.0875e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2271e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2117e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1696e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1879e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0701e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2249e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1532e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2414e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1741e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.189e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1364e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2031e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1862e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2096e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1517e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0763e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1942e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2311e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2357e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0521e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2394e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1453e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0882e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1166e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1156e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 2.0211e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1215e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0343e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1404e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1943e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2317e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1629e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.3262e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2454e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1469e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1863e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1469e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1839e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1535e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.208e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1199e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1773e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2088e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.212e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1922e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.088e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1306e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1469e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1719e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0973e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2996e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1011e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2071e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1563e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2386e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2414e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.3362e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0977e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.132e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1765e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1817e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.0315e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1291e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1636e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.2434e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1664e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1506e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
Element calculation test with N = 0 Time: 1.1833e-05Melement/s: 0 GFLOPS/s: 0 GB/s: 0
